date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:48	17589/17589	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:24:49%20GMT	https://millano.elinsoft.org/resetpassword	D:/offer/ahmeddd/millano.elinsoft.org/resetpassword.html	(from https://millano.elinsoft.org/)
21:04:48	29053/29053	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:24:19%20GMT	https://millano.elinsoft.org/dashboard	D:/offer/ahmeddd/millano.elinsoft.org/dashboard.html	(from https://millano.elinsoft.org/)
21:04:48	13264/13264	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2000:26:36%20GMT	https://millano.elinsoft.org/assets/img/box-shape.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/box-shape.png	(from https://millano.elinsoft.org/)
21:04:48	21883/21883	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2011:01:40%20GMT	https://millano.elinsoft.org/assets/img/home-img.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/home-img.png	(from https://millano.elinsoft.org/)
21:04:49	219750/219750	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2018:41:02%20GMT	https://millano.elinsoft.org/assets/img/iphone.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/iphone.png	(from https://millano.elinsoft.org/)
21:04:49	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:37%20GMT	https://millano.elinsoft.org/register	D:/offer/ahmeddd/millano.elinsoft.org/register	(from https://millano.elinsoft.org/)
21:04:49	20466/20466	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:25:38%20GMT	https://millano.elinsoft.org/terms	D:/offer/ahmeddd/millano.elinsoft.org/terms.html	(from https://millano.elinsoft.org/)
21:04:50	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d84%22	https://code.jquery.com/jquery-3.5.1.min.js	D:/offer/ahmeddd/code.jquery.com/jquery-3.5.1.min.js	(from https://millano.elinsoft.org/)
21:04:50	81084/81084	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2002%20Jan%202021%2014:15:46%20GMT	https://millano.elinsoft.org/assets/kits/bootstrap/js/bootstrap.bundle.min.js	D:/offer/ahmeddd/millano.elinsoft.org/assets/kits/bootstrap/js/bootstrap.bundle.min.js	(from https://millano.elinsoft.org/)
21:04:50	7033/7033	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2007%20May%202021%2002:32:08%20GMT	https://millano.elinsoft.org/assets/js/main.js	D:/offer/ahmeddd/millano.elinsoft.org/assets/js/main.js	(from https://millano.elinsoft.org/)
21:04:50	15630/15630	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2000:03:40%20GMT	https://millano.elinsoft.org/assets/img/dash-bg.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/dash-bg.png	(from https://millano.elinsoft.org/assets/css/main.css)
21:04:51	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:39%20GMT	https://millano.elinsoft.org/assets/img/hh-bg.svg	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/hh-bg.svg	(from https://millano.elinsoft.org/assets/css/main.css)
21:04:51	240884/240884	---M--	200	added ('OK')	image/png	date:Mon,%2003%20May%202021%2017:09:54%20GMT	https://millano.elinsoft.org/assets/img/main-bg.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/main-bg.png	(from https://millano.elinsoft.org/assets/css/main.css)
21:04:51	26290/26290	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2017:09:50%20GMT	https://millano.elinsoft.org/assets/img/halftone.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/halftone.png	(from https://millano.elinsoft.org/assets/css/main.css)
21:04:51	18117/18117	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2022:15:04%20GMT	https://millano.elinsoft.org/assets/img/dash-bg-dark.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/dash-bg-dark.png	(from https://millano.elinsoft.org/assets/css/main.css)
21:04:52	1849/1849	---M--	200	added ('OK')	image/png	date:Fri,%2007%20May%202021%2015:12:04%20GMT	https://millano.elinsoft.org/assets/img/logo-sm.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/logo-sm.png	(from https://millano.elinsoft.org/services)
21:04:52	3329/3329	---M--	200	added ('OK')	image/png	date:Fri,%2007%20May%202021%2014:34:16%20GMT	https://millano.elinsoft.org/assets/img/avatar.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/avatar.png	(from https://millano.elinsoft.org/services)
21:04:52	57283/57283	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Jan%202021%2020:42:36%20GMT	https://millano.elinsoft.org/assets/img/verified.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/verified.png	(from https://millano.elinsoft.org/services)
21:04:52	23233/23233	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:23:24%20GMT	https://millano.elinsoft.org/account	D:/offer/ahmeddd/millano.elinsoft.org/account.html	(from https://millano.elinsoft.org/services)
21:04:52	31205/31205	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:25:45%20GMT	https://millano.elinsoft.org/tickets	D:/offer/ahmeddd/millano.elinsoft.org/tickets.html	(from https://millano.elinsoft.org/services)
21:04:53	24021/24021	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:24:41%20GMT	https://millano.elinsoft.org/orders	D:/offer/ahmeddd/millano.elinsoft.org/orders.html	(from https://millano.elinsoft.org/services)
21:04:53	22051/22051	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:23:33%20GMT	https://millano.elinsoft.org/addfunds	D:/offer/ahmeddd/millano.elinsoft.org/addfunds.html	(from https://millano.elinsoft.org/services)
21:04:53	25520/25520	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:23:40%20GMT	https://millano.elinsoft.org/affiliates	D:/offer/ahmeddd/millano.elinsoft.org/affiliates.html	(from https://millano.elinsoft.org/services)
21:04:53	24703/24703	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:24:07%20GMT	https://millano.elinsoft.org/childpanels	D:/offer/ahmeddd/millano.elinsoft.org/childpanels.html	(from https://millano.elinsoft.org/services)
21:04:54	26390/26390	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:24:25%20GMT	https://millano.elinsoft.org/faq	D:/offer/ahmeddd/millano.elinsoft.org/faq.html	(from https://millano.elinsoft.org/services)
21:04:54	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:42%20GMT	https://millano.elinsoft.org/assets/kits/owl/owl.carousel.min.js	D:/offer/ahmeddd/millano.elinsoft.org/assets/kits/owl/owl.carousel.min.js	(from https://millano.elinsoft.org/services)
21:04:54	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:43%20GMT	https://millano.elinsoft.org/example.txt	D:/offer/ahmeddd/millano.elinsoft.org/example.txt	(from https://millano.elinsoft.org/api)
21:04:55	21824/21824	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20May%202021%2019:25:51%20GMT	https://millano.elinsoft.org/viewticket	D:/offer/ahmeddd/millano.elinsoft.org/viewticket.html	(from https://millano.elinsoft.org/tickets)
21:04:55	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:43%20GMT	https://millano.elinsoft.org/orders/pending	D:/offer/ahmeddd/millano.elinsoft.org/orders/pending	(from https://millano.elinsoft.org/orders)
21:04:55	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:44%20GMT	https://millano.elinsoft.org/orders/inprogress	D:/offer/ahmeddd/millano.elinsoft.org/orders/inprogress	(from https://millano.elinsoft.org/orders)
21:04:55	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:44%20GMT	https://millano.elinsoft.org/orders/completed	D:/offer/ahmeddd/millano.elinsoft.org/orders/completed	(from https://millano.elinsoft.org/orders)
21:04:56	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:44%20GMT	https://millano.elinsoft.org/orders/partial	D:/offer/ahmeddd/millano.elinsoft.org/orders/partial	(from https://millano.elinsoft.org/orders)
21:04:56	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:44%20GMT	https://millano.elinsoft.org/orders/processing	D:/offer/ahmeddd/millano.elinsoft.org/orders/processing	(from https://millano.elinsoft.org/orders)
21:04:56	708/708	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2018:04:44%20GMT	https://millano.elinsoft.org/orders/canceled	D:/offer/ahmeddd/millano.elinsoft.org/orders/canceled	(from https://millano.elinsoft.org/orders)
21:04:56	2593/2593	---M--	200	added ('OK')	image/png	date:Thu,%2006%20May%202021%2017:42:50%20GMT	https://millano.elinsoft.org/assets/img/server.png	D:/offer/ahmeddd/millano.elinsoft.org/assets/img/server.png	(from https://millano.elinsoft.org/childpanels)
